00011011 0011,00000000 0010,00001010 0000,00001010 0011,00000000 0001,00000000 0011
396,131,134,73,106,157
397,131,134,72,106,157
399,130,134,71,105,158
399,131,134,71,105,158
401,131,134,71,105,158
402,131,134,71,105,158
404,132,134,71,105,158
410,132,134,71,104,158
413,132,134,71,106,157
413,132,134,69,108,156
413,132,134,69,109,156
415,132,134,70,109,152
418,132,134,69,107,151
420,132,133,69,108,151
419,132,134,69,109,150
419,132,135,68,110,149
419,132,135,68,110,149
420,132,134,70,109,148
420,132,134,70,109,148
422,132,132,70,107,150
423,132,132,70,105,150
423,132,132,70,107,149
423,132,132,70,108,148
421,132,131,71,110,147
422,132,131,71,109,148
422,132,132,68,108,151
422,132,132,70,107,150
420,132,132,72,107,150
420,132,132,72,107,150
420,132,131,72,108,150
421,132,132,72,108,148
422,132,131,72,107,149
421,132,131,72,108,149
419,132,133,72,109,148
419,132,134,72,109,147
419,132,134,72,108,148
420,132,133,72,108,148
421,132,132,72,107,149
422,134,132,72,106,149
423,134,132,72,105,149
423,134,132,72,105,149
422,134,132,72,105,150
422,134,131,73,105,150
423,134,131,73,105,149
424,134,131,73,105,148
424,134,131,73,106,147
425,134,131,73,104,147
427,134,131,73,104,146
428,134,131,73,103,147
428,134,131,73,103,148
428,134,132,72,102,149
428,134,132,72,102,149
428,134,132,72,101,150
428,134,131,73,102,149
427,134,131,73,102,150
427,134,131,73,102,150
427,134,131,73,101,151
428,134,130,73,101,151
431,134,126,73,103,150
429,135,128,73,104,149
427,135,129,73,106,148
432,135,126,73,105,147
431,135,125,73,105,149
431,135,125,74,103,150
431,136,125,74,102,151
431,136,125,74,101,152
432,136,124,74,100,153
432,136,124,74,100,153
432,135,124,74,100,154
432,135,124,74,100,154
433,135,124,73,100,154
433,135,124,73,100,154
430,135,125,75,100,154
429,135,123,76,100,155
428,135,123,76,100,154
428,135,125,76,100,154
431,135,125,74,100,154
431,135,125,74,101,153
432,134,124,75,102,151
434,134,124,74,103,150
437,134,122,74,101,151
433,134,124,76,99,153
433,134,124,76,99,153
433,134,124,77,100,153
434,134,122,78,100,154
433,134,124,81,100,152
433,134,124,81,99,153
433,134,123,81,99,154
432,134,125,81,99,153
433,134,125,80,99,153
435,134,123,79,99,153
435,134,123,79,101,152
434,134,122,79,103,152
436,134,122,80,105,147
436,134,122,79,105,148
435,134,122,80,104,149
435,134,122,81,104,148
435,134,122,80,104,148
434,134,122,80,104,148
433,134,123,80,104,149
436,134,125,80,101,148
438,134,125,80,99,148
437,134,125,80,99,149
437,134,126,80,99,148
437,134,125,80,100,148
437,134,125,80,99,149
437,134,125,79,101,147
437,134,126,79,101,147
437,134,125,81,100,147
438,134,123,80,101,148
439,134,123,79,101,148
441,134,123,79,101,146
441,134,123,79,101,146
440,134,124,79,101,146
440,134,124,79,101,146
440,134,124,79,101,146
440,134,124,79,101,146
440,134,124,79,101,146
442,134,121,81,100,146
444,134,120,80,100,146
445,134,118,80,100,146
446,134,118,79,102,145
447,134,117,79,102,145
448,134,114,79,102,147
450,134,111,79,102,147
452,134,110,79,102,147
453,134,109,79,102,147
453,134,109,79,102,147
453,134,109,79,101,148
453,134,112,79,100,146
453,134,112,79,100,146
457,134,106,79,100,148
457,134,106,79,100,148
457,134,106,79,100,148
457,134,105,79,101,148
458,134,105,79,100,148
458,134,105,79,100,148
458,134,105,79,101,147
458,134,106,79,100,147
458,134,106,79,100,147
458,133,108,79,100,146
458,133,108,79,101,145
458,133,107,79,102,145
458,133,107,79,102,145
456,134,109,79,102,144
456,134,109,79,102,144
456,134,107,79,102,146
456,134,107,79,101,147
456,134,107,80,102,145
456,133,107,81,103,144
461,133,105,78,103,144
459,133,105,80,103,144
459,133,105,80,103,144
459,132,105,80,103,144
460,132,105,80,103,144
460,132,106,79,104,143
460,132,106,79,104,143
460,132,105,79,104,144
460,132,106,78,104,144
459,132,108,78,104,142
457,133,109,79,104,142
456,134,109,79,104,142
456,134,109,79,104,142
456,134,109,79,104,142
456,134,109,79,104,142
456,134,109,80,104,141
456,134,110,79,104,141
456,134,110,79,104,141
456,134,109,79,105,141
456,134,109,79,105,141
458,134,107,79,105,141
458,134,107,79,105,141
460,133,106,79,105,141
461,132,106,79,105,141
461,132,106,79,105,141
460,132,108,78,105,141
461,132,107,78,105,141
460,132,107,78,105,141
461,132,107,78,105,141
461,132,107,78,105,141
460,133,106,78,105,141
460,133,107,78,104,141
461,133,107,78,104,141
462,132,107,78,104,141
463,133,106,78,102,141
464,133,106,78,102,141
465,133,106,78,101,141
465,133,106,78,101,141
465,133,106,78,101,141
465,132,106,78,101,141
466,132,107,78,100,141
465,132,108,79,99,141
465,132,108,79,99,141
466,132,107,79,99,141
465,133,107,79,99,141
464,133,108,79,99,141
465,133,107,79,99,141
465,133,107,78,100,141
465,133,107,79,99,141
465,133,107,79,99,141
465,133,107,79,99,141
468,133,107,79,96,141
468,133,107,79,96,141
468,133,107,79,96,141
469,132,107,78,97,141
472,129,107,78,97,141
472,128,107,78,98,141
471,129,107,78,98,141
471,129,107,79,97,141
471,129,107,80,96,141
471,129,107,80,96,141
471,129,107,80,96,141
471,129,107,81,95,141
472,129,107,81,95,140
476,129,107,82,95,134
478,129,108,82,95,132
480,129,108,85,95,127
481,129,108,83,96,127
482,129,108,81,97,127
483,129,108,80,97,127
483,130,108,79,97,127
483,129,108,79,97,127
482,129,108,80,97,127
482,130,108,80,97,127
482,129,108,80,97,127
482,130,107,80,97,127
485,130,107,79,97,126
485,130,107,78,98,126
485,130,107,79,97,126
484,130,107,79,97,127
484,130,107,79,97,127
483,130,107,79,97,127
484,129,107,79,97,127
485,128,107,79,97,127
486,128,107,79,97,127
486,128,107,79,97,127
486,128,107,79,97,127
487,128,107,78,97,127
485,128,108,79,97,127
484,129,108,79,97,127
485,128,108,79,97,127
485,128,108,79,97,127
485,128,108,79,97,127
485,128,108,79,97,127
485,128,108,79,97,127
485,128,108,79,97,127
485,128,108,79,97,127
486,128,108,79,97,126
487,128,108,80,96,125
488,127,108,80,95,126
485,128,107,81,96,127
484,129,107,81,96,127
487,129,104,81,97,125
487,129,104,81,97,125
488,129,104,81,97,125
488,129,104,81,97,125
488,129,104,81,97,125
489,129,104,80,97,125
489,129,104,81,95,126
489,129,104,81,95,126
492,126,105,81,94,126
492,125,104,81,94,126
493,124,104,81,95,126
496,122,102,81,95,128
496,122,104,81,95,126
495,123,104,81,95,126
495,123,104,81,96,125
495,123,105,81,95,125
494,123,105,82,95,125
494,123,105,82,95,125
495,122,105,81,95,126
493,122,105,82,95,126
492,122,104,82,96,127
492,122,104,81,96,129
492,122,104,81,96,129
492,122,104,81,96,129
492,122,104,81,96,129
493,121,104,81,96,129
493,121,104,81,95,130
494,120,104,81,95,130
494,120,104,81,95,130
494,120,104,81,95,130
494,120,103,81,95,131
493,120,103,82,95,131
493,120,103,82,95,131
493,120,103,82,95,131
493,120,103,82,95,131
494,120,103,81,95,131
495,120,103,81,95,130
496,120,103,81,95,129
497,120,102,81,95,129
498,120,100,81,95,129
499,120,98,81,95,129
501,120,98,81,95,129
502,120,98,81,93,129
503,120,98,81,94,128
505,118,98,81,94,128
505,118,98,81,94,128
507,118,96,81,94,128
507,118,96,81,94,128
507,118,96,81,94,128
507,118,96,81,94,128
507,118,96,81,94,128
507,118,96,81,94,128
507,118,96,81,94,128
506,119,96,81,94,128
505,120,94,81,94,130
505,120,94,81,94,130
505,120,96,81,94,128
505,120,96,81,94,128
505,120,96,81,94,128
505,120,96,81,94,128
505,120,96,81,94,128
505,120,96,81,94,128
505,120,96,81,94,128
505,120,95,82,94,128
505,120,95,82,94,128
506,119,95,82,94,128
506,119,96,81,94,128
506,119,96,81,94,128
506,119,96,81,94,128
506,119,96,81,94,128
506,119,96,81,94,128
507,119,96,81,93,128
507,119,96,81,93,128
507,119,96,81,93,128
510,117,96,80,93,127
511,117,98,80,93,125
511,117,98,80,93,125
511,117,98,80,93,125
510,117,98,81,93,125
510,117,98,81,93,125
511,117,98,80,93,125
512,117,98,79,93,125
512,117,98,79,93,125
512,117,98,79,93,125
512,117,98,79,93,125
511,117,98,79,93,126
511,117,98,79,93,126
511,117,98,79,93,126
511,117,98,79,93,126
512,117,96,79,93,127
512,117,96,79,93,127
513,118,95,79,93,126
517,118,93,80,90,126
518,118,93,79,89,126
518,118,95,80,89,124
519,118,94,80,89,124
521,117,94,80,89,123
521,117,94,80,89,123
521,117,94,80,89,123
521,117,94,80,89,123
521,117,94,80,89,123
521,117,94,80,89,123
521,117,94,80,89,123
521,117,94,80,89,123
521,117,94,80,89,123
521,116,94,80,89,124
521,116,94,80,89,124
521,116,94,80,89,124
521,116,94,80,89,124
521,115,94,81,89,124
521,115,95,80,89,124
521,115,95,80,89,124
522,115,95,80,89,123
520,115,95,80,89,125
522,115,95,80,89,123
522,115,95,80,89,123
521,115,95,80,89,124
522,115,95,80,89,123
522,115,95,80,89,123
521,116,93,80,89,125
522,115,94,81,89,123
522,115,95,80,89,123
522,115,95,80,89,123
522,115,95,81,89,121
522,115,95,81,89,121
525,115,95,80,88,121
526,115,95,80,87,121
526,115,95,80,87,121
526,115,93,80,87,123
525,115,94,80,87,123
525,115,94,80,87,123
524,115,96,80,87,122
524,115,94,81,87,123
524,115,94,80,87,124
526,113,93,80,88,124
526,113,93,80,88,124
528,113,93,81,88,120
533,113,93,80,87,114
537,113,94,80,87,111
545,113,93,80,87,106
549,113,93,81,87,101
551,113,93,80,87,99
551,113,93,80,87,99
552,113,93,80,87,99
552,113,93,80,87,99
552,113,93,80,87,99
552,113,93,80,87,99
552,113,93,80,87,99
552,113,93,80,87,99
552,113,93,80,87,99
554,113,93,80,87,96
563,113,93,81,87,85
572,113,93,81,87,75
579,113,93,82,85,71
582,113,93,80,85,71
578,113,94,80,85,74
578,113,94,80,85,74
578,113,94,80,85,74
578,113,94,80,85,74
578,113,94,80,85,74
577,113,94,81,85,74
577,113,94,80,85,75
578,113,94,80,85,74
577,115,94,80,85,73
577,116,94,80,85,72
577,117,94,80,85,71
577,114,94,80,85,74
578,113,93,80,85,75
578,113,93,80,85,75
578,113,95,80,85,73
578,113,95,80,85,73
580,113,95,80,85,71
582,113,95,80,85,69
585,113,95,80,85,66
585,113,95,80,85,66
588,115,95,80,85,60
589,116,94,82,85,58
593,116,92,80,85,58
592,117,92,81,85,57
594,116,92,80,85,57
594,116,92,80,85,57
595,116,91,80,85,57
593,116,90,80,88,57
596,116,90,80,85,57
597,116,90,80,83,57
598,116,90,80,83,57
598,116,90,80,83,57
597,117,90,80,83,57
597,117,90,80,83,57
598,117,89,80,83,57
597,117,91,80,82,57
597,117,90,80,83,57
596,117,90,80,84,57
596,117,90,80,84,57
597,117,89,80,84,57
597,114,90,80,83,60
597,113,89,80,84,61
596,113,90,80,84,61
597,113,89,80,84,61
596,113,90,80,84,61
596,113,90,80,84,61
596,113,90,80,84,61
596,113,90,80,83,62
595,113,91,80,83,62
596,116,90,80,83,59
595,117,91,80,83,58
597,117,89,81,81,58
601,117,89,80,80,57
601,117,87,81,80,57
603,117,84,82,81,57
605,117,84,80,80,58
604,117,84,80,81,58
602,117,86,80,81,58
602,117,86,80,81,58
602,117,88,80,81,56
602,117,88,80,81,56
602,117,88,80,81,56
604,117,88,80,79,56
604,117,88,80,79,56
603,117,88,80,80,56
602,117,88,80,81,56
602,117,88,80,81,56
